company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,eps_ratio,dividend_payout_ratio,id,company_name,roe_percentage,roce_percentage,roe_difference,roce_difference,category
APOLLOHOSP,Mar 2016,3.8211382113821135,11.121951219512196,7.052821128451381,11.093091144988646,3.192934782608696,0.8505402160864346,0,4.311111111111111,,0,2482.0,0.8355978260869565,17.0,35.0,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",13.81,17.2,6.75717887154862,6.106908855011353,Formula Difference
APOLLOHOSP,Mar 2017,1.8054024255788312,10.115766262403527,3.952926976463488,11.399285603354558,1.6166851783290141,0.9429692214846107,0,3.0894941634241246,,0,2719.0,0.8954708132790324,16.0,38.0,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",13.81,17.2,9.857073023536513,5.800714396645441,Formula Difference
APOLLOHOSP,Mar 2018,0.7278903311901006,9.717335921387845,1.8450184501845017,11.992813295403504,0.6979990693345742,1.0538130381303814,0,2.7966101694915255,,0,3075.0,0.9589343880874825,8.0,59.0,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",13.81,17.2,11.964981549815498,5.207186704596495,Formula Difference
APOLLOHOSP,Mar 2019,2.0796506186960593,11.126130810023916,5.9988002399520095,15.270443841872414,2.181976871045167,1.1016796640671866,0,3.3516819571865444,,0,3211.0,1.0492035784420686,17.0,35.0,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",13.81,17.2,7.811199760047991,1.9295561581275855,Formula Difference
APOLLOHOSP,Mar 2020,3.841024273139504,14.145994487418868,12.934131736526947,22.93829296424452,3.826733988838692,1.0766467065868264,0,3.401500938086304,,0,3162.0,0.996279564177518,33.0,18.0,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",13.81,17.2,0.8758682634730537,5.738292964244522,Source Difference
APOLLOHOSP,Mar 2021,1.2973484848484849,10.795454545454545,2.976319791440365,13.009243409791168,1.2025983146067416,0.9037584184227677,0,2.7683741648106905,,0,2817.0,0.9269662921348315,10.0,29.0,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",13.81,17.2,10.833680208559635,4.1907565902088315,Formula Difference
APOLLOHOSP,Mar 2022,7.556434563186251,14.928732183045762,19.704783923172684,22.587968217934165,8.355327652514893,0.723457229237062,0,6.746701846965699,,0,3252.0,1.1057235502601614,73.0,16.0,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",13.81,17.2,5.8947839231726835,5.387968217934166,Formula Difference
ASIANPAINT,Mar 2013,11.043412033511043,16.536557501904035,34.2789598108747,47.785419532324624,17.099056603773587,0.0741725768321513,0,44.07142857142857,,0,-45.0,1.5483490566037736,12.0,40.0,ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",31.45,41.75,2.8289598108747036,6.0354195323246245,Source Difference
ASIANPAINT,Mar 2013,11.043412033511043,16.536557501904035,34.2789598108747,47.785419532324624,17.099056603773587,0.0741725768321513,0,44.07142857142857,,0,-45.0,1.5483490566037736,12.0,40.0,ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",31.45,41.75,2.8289598108747036,6.0354195323246245,Source Difference
ASIANPAINT,Mar 2017,13.384676669764971,19.87783826849024,26.512361914781696,36.67319941205292,16.251511487303507,0.07364544976328248,0,90.05405405405405,,0,-2092.0,1.2141878274889157,20.0,51.0,ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",31.45,41.75,4.937638085218303,5.076800587947083,Source Difference
